game_id,date,home_score,away_score,home_win
831597,2026-02-22,1,8,0
831537,2026-02-22,4,6,0
831495,2026-02-22,8,16,0
831886,2026-02-22,0,6,0
831744,2026-02-22,8,14,0
831922,2026-02-22,4,2,1
831859,2026-02-22,9,5,1
831790,2026-02-22,5,2,1
831830,2026-02-22,9,10,0
831803,2026-02-22,1,5,0
831841,2026-02-22,3,7,0
831652,2026-02-23,2,1,1
831658,2026-02-23,0,3,0
831540,2026-02-23,7,10,0
831485,2026-02-23,5,4,1
831595,2026-02-23,2,6,0
831539,2026-02-23,3,4,0
831955,2026-02-23,9,5,1
831927,2026-02-23,2,3,0
831745,2026-02-23,3,0,1
831939,2026-02-23,6,2,1
831724,2026-02-23,0,6,0
831912,2026-02-23,5,4,1
831783,2026-02-23,7,5,1
831483,2026-02-23,5,5,0
831534,2026-02-24,7,16,0
831651,2026-02-24,5,10,0
831650,2026-02-24,12,1,1
831594,2026-02-24,8,1,1
831649,2026-02-24,7,8,0
831593,2026-02-24,6,6,0
831489,2026-02-24,6,1,1
831847,2026-02-24,5,4,1
831876,2026-02-24,11,3,1
831781,2026-02-24,6,5,1
831951,2026-02-24,4,6,0
831797,2026-02-24,0,10,0
831825,2026-02-24,7,5,1
832060,2026-02-24,1,4,0
831906,2026-02-24,10,12,0
831491,2026-02-24,6,1,1
831653,2026-02-25,4,3,1
831647,2026-02-25,4,4,0
831645,2026-02-25,3,5,0
831591,2026-02-25,5,3,1
831490,2026-02-25,3,1,1
831488,2026-02-25,0,6,0
831584,2026-02-25,1,4,0
831870,2026-02-25,7,14,0
831741,2026-02-25,8,8,0
831730,2026-02-25,4,11,0
831901,2026-02-25,2,3,0
831815,2026-02-25,7,10,0
831819,2026-02-25,7,3,1
831753,2026-02-25,13,12,1
831538,2026-02-25,7,0,1
831644,2026-02-26,6,5,1
831535,2026-02-26,0,5,0
831589,2026-02-26,9,4,1
831643,2026-02-26,7,5,1
831590,2026-02-26,6,4,1
831487,2026-02-26,7,3,1
831536,2026-02-26,7,3,1
831541,2026-02-26,7,8,0
831773,2026-02-26,11,10,1
831862,2026-02-26,3,11,0
831736,2026-02-26,7,3,1
831911,2026-02-26,7,6,1
831788,2026-02-26,1,5,0
831926,2026-02-26,5,4,1
831843,2026-02-26,13,10,1
831875,2026-02-26,8,7,1
831587,2026-02-27,6,1,1
831482,2026-02-27,3,14,0
831646,2026-02-27,6,5,1
831528,2026-02-27,16,8,1
831588,2026-02-27,15,8,1
831486,2026-02-27,10,2,1
831648,2026-02-27,5,17,0
831823,2026-02-27,3,4,0
831884,2026-02-27,8,6,1
831946,2026-02-27,7,6,1
831805,2026-02-27,12,4,1
831729,2026-02-27,3,1,1
831776,2026-02-27,3,2,1
831909,2026-02-27,5,2,1
